,ind,title,text,label,tok_nums
0,0,thegoodsoldier,"leonora, however, was not in the least keen on his soldiering. she hated also his deeds of heroism. one of their bitterest quarrels came after he had, for the second time, in the red sea, jumped overboard from the troopship and rescued a private soldier. she stood it the first time and even complimented him. but the red sea was awful, that trip, and the private soldiers seemed to develop a suicidal craze. it got on leonora's nerves; she figured edward, for the rest of that trip, jumping overboard every ten minutes. and the mere cry of ""man overboard"" is a disagreeable, alarming and disturbing thing. the ship gets stopped and there are all sorts of shouts. and edward would not promise not to do it again, though, fortunately, they struck a streak of cooler weather when they were in the persian gulf. leonora had got it into her head that edward was trying to commit suicide, so i guess it was pretty awful for her when he would not give the promise.",noble_agented,"[101, 6506, 6525, 1010, 2174, 1010, 2001, 2025, 1999, 1996, 2560, 10326, 2006, 2010, 5268, 2075, 1012, 2016, 6283, 2036, 2010, 15616, 1997, 27117, 1012, 2028, 1997, 2037, 8618, 4355, 26260, 2015, 2234, 2044, 2002, 2018, 1010, 2005, 1996, 2117, 2051, 1010, 1999, 1996, 2417, 2712, 1010, 5598, 27089, 2013, 1996, 3629, 5605, 1998, 10148, 1037, 2797, 5268, 1012, 2016, 2768, 2009, 1996, 2034, 2051, 1998, 2130, 27175, 2032, 1012, 2021, 1996, 2417, 2712, 2001, 9643, 1010, 2008, 4440, 1010, 1998, 1996, 2797, 3548, 2790, 2000, 4503, 1037, 26094, 13675, 10936, 2063, 1012, 2009, 2288, 2006, 6506, 6525, 1005, 1055, 10627, 1025, 2016, 6618, 3487, 1010, 2005, 1996, 2717, 1997, 2008, 4440, 1010, 8660, 27089, 2296, 2702, 2781, 1012, 1998, 1996, 8210, 5390, 1997, 1000, 2158, 27089, 1000, 2003, 1037, 21090, 3085, 1010, 8598, 2075, 1998, 14888, 2518, 1012, 1996, 2911, 4152, 3030, 1998, 2045, 2024, 2035, 11901, 1997, 15701, 1012, 1998, 3487, 2052, 2025, 4872, 2025, 2000, 2079, 2009, 2153, 1010, 2295, 1010, 14599, 1010, 2027, 4930, 1037, 9039, 1997, 14976, 4633, 2043, 2027, 2020, 1999, 1996, 4723, 6084, 1012, 6506, 6525, 2018, 2288, 2009, 2046, 2014, 2132, 2008, 3487, 2001, 2667, 2000, 10797, 5920, 1010, 2061, 1045, 3984, 2009, 2001, 3492, 9643, 2005, 2014, 2043, 2002, 2052, 2025, 2507, 1996, 4872, 1012, 102]"
1,1,thegoodsoldier," ""i said a great deal more to him than i wanted to, just because he was so silent."" she talked, in fact, in the endeavour to sting him into speech. she must have said so much that, with the expression of her grievance, her mood changed. she went back to her own room in the gallery, and sat there for a long time thinking. and she thought herself into a mood of absolute unselfishness, of absolute self-contempt, too. she said to herself that she was no good; that she had failed in all her efforts--in her efforts to get edward back as in her efforts to make him curb his expenditure. she imagined herself to be exhausted; she imagined herself to be done. then a great fear came over her. she thought that edward, after what she had said to him, must have committed suicide. she went out on to the gallery and listened; there was no sound in all the house except the regular beat of the great clock in the hall. but, even in her debased condition, she was not the person to hang about. she acted. she went straight to edward's room, opened the door, and looked in. he was oiling the breech action of a gun.",guilt_penance_self_loathing,"[101, 1000, 1045, 2056, 1037, 2307, 3066, 2062, 2000, 2032, 2084, 1045, 2359, 2000, 1010, 2074, 2138, 2002, 2001, 2061, 4333, 1012, 1000, 2016, 5720, 1010, 1999, 2755, 1010, 1999, 1996, 26911, 2000, 12072, 2032, 2046, 4613, 1012, 2016, 2442, 2031, 2056, 2061, 2172, 2008, 1010, 2007, 1996, 3670, 1997, 2014, 24665, 2666, 21789, 1010, 2014, 6888, 2904, 1012, 2016, 2253, 2067, 2000, 2014, 2219, 2282, 1999, 1996, 3916, 1010, 1998, 2938, 2045, 2005, 1037, 2146, 2051, 3241, 1012, 1998, 2016, 2245, 2841, 2046, 1037, 6888, 1997, 7619, 4895, 11246, 7529, 2791, 1010, 1997, 7619, 2969, 1011, 17152, 1010, 2205, 1012, 2016, 2056, 2000, 2841, 2008, 2016, 2001, 2053, 2204, 1025, 2008, 2016, 2018, 3478, 1999, 2035, 2014, 4073, 1011, 1011, 1999, 2014, 4073, 2000, 2131, 3487, 2067, 2004, 1999, 2014, 4073, 2000, 2191, 2032, 13730, 2010, 20700, 1012, 2016, 8078, 2841, 2000, 2022, 9069, 1025, 2016, 8078, 2841, 2000, 2022, 2589, 1012, 2059, 1037, 2307, 3571, 2234, 2058, 2014, 1012, 2016, 2245, 2008, 3487, 1010, 2044, 2054, 2016, 2018, 2056, 2000, 2032, 1010, 2442, 2031, 5462, 5920, 1012, 2016, 2253, 2041, 2006, 2000, 1996, 3916, 1998, 7791, 1025, 2045, 2001, 2053, 2614, 1999, 2035, 1996, 2160, 3272, 1996, 3180, 3786, 1997, 1996, 2307, 5119, 1999, 1996, 2534, 1012, 2021, 1010, 2130, 1999, 2014, 2139, 15058, 2094, 4650, 1010, 2016, 2001, 2025, 1996, 2711, 2000, 6865, 2055, 1012, 2016, 6051, 1012, 2016, 2253, 3442, 2000, 3487, 1005, 1055, 2282, 1010, 2441, 1996, 2341, 1010, 1998, 2246, 1999, 1012, 2002, 2001, 3514, 2075, 1996, 21986, 2818, 2895, 1997, 1037, 3282, 1012, 102]"
2,2,hamlet,"one woe doth tread upon another's heel, so fast they follow. your sister's drown'd, laertes. laertes. drown'd! o, where? queen. there is a willow grows aslant a brook, that shows his hoary leaves in the glassy stream. there with fantastic garlands did she make of crow-flowers, nettles, daisies, and long purples, that liberal shepherds give a grosser name, but our cold maids do dead men's fingers call them. there on the pendant boughs her coronet weeds clamboring to hang, an envious sliver broke, when down her weedy trophies and herself fell in the weeping brook. her clothes spread wide, and mermaid-like, awhile they bore her up, which time she chaunted snatches of old tunes, as one incapable of her own distress, or like a creature native and indued unto that element. but long it could not be till that her garments, heavy with their drink, pull'd the poor wretch from her melodious lay to muddy death. laertes. alas, then she is drown'd? queen. drown'd, drown'd. laertes. too much of water hast thou, poor ophelia, and therefore i forbid my tears. ",senseless_meaning_making,"[101, 2028, 24185, 2063, 11089, 2232, 29449, 2588, 2178, 1005, 1055, 12073, 1010, 2061, 3435, 2027, 3582, 1012, 2115, 2905, 1005, 1055, 19549, 1005, 1040, 1010, 2474, 8743, 2229, 1012, 2474, 8743, 2229, 1012, 19549, 1005, 1040, 999, 1051, 1010, 2073, 1029, 3035, 1012, 2045, 2003, 1037, 11940, 7502, 2004, 5802, 2102, 1037, 9566, 1010, 2008, 3065, 2010, 7570, 5649, 3727, 1999, 1996, 3221, 2100, 5460, 1012, 2045, 2007, 10392, 17017, 2015, 2106, 2016, 2191, 1997, 11465, 1011, 4870, 1010, 5658, 9286, 2015, 1010, 18765, 14625, 1010, 1998, 2146, 6379, 2015, 1010, 2008, 4314, 11133, 2015, 2507, 1037, 7977, 2121, 2171, 1010, 2021, 2256, 3147, 29229, 2079, 2757, 2273, 1005, 1055, 3093, 2655, 2068, 1012, 2045, 2006, 1996, 23152, 8945, 8953, 2015, 2014, 2522, 20793, 2102, 20777, 18856, 3286, 12821, 2075, 2000, 6865, 1010, 2019, 4372, 24918, 22889, 16402, 3631, 1010, 2043, 2091, 2014, 17901, 2100, 22236, 1998, 2841, 3062, 1999, 1996, 19750, 9566, 1012, 2014, 4253, 3659, 2898, 1010, 1998, 22322, 1011, 2066, 1010, 19511, 2027, 8501, 2014, 2039, 1010, 2029, 2051, 2016, 15775, 16671, 2098, 23365, 2229, 1997, 2214, 13281, 1010, 2004, 2028, 19907, 1997, 2014, 2219, 12893, 1010, 2030, 2066, 1037, 6492, 3128, 1998, 27427, 5657, 2094, 19662, 2008, 5783, 1012, 2021, 2146, 2009, 2071, 2025, 2022, 6229, 2008, 2014, 21902, 1010, 3082, 2007, 2037, 4392, 1010, 4139, 1005, 1040, 1996, 3532, 23277, 3388, 2818, 2013, 2014, 11463, 7716, 6313, 3913, 2000, 15405, 2331, 1012, 2474, 8743, 2229, 1012, 21862, 2015, 1010, 2059, 2016, 2003, 19549, 1005, 1040, 1029, 3035, 1012, 19549, 1005, 1040, 1010, 19549, 1005, 1040, 1012, 2474, 8743, 2229, 1012, 2205, 2172, 1997, 2300, 2038, 2102, 15223, 1010, 3532, 6728, 16001, 2401, 1010, 1998, 3568, 1045, 27206, 2026, 4000, 1012, 102]"
3,3,hamlet,"how can that be, unless she drowned herself in her own defence? why, 'tis found so. it must be, it cannot be else. for here lies the point: if i drown myself wittingly, it argues an act: and an act hath three branches. it is to act, to do, and to perform: argal, she drowned herself wittingly.",noble_agented,"[101, 2129, 2064, 2008, 2022, 1010, 4983, 2016, 12805, 2841, 1999, 2014, 2219, 4721, 1029, 2339, 1010, 1005, 22320, 2179, 2061, 1012, 2009, 2442, 2022, 1010, 2009, 3685, 2022, 2842, 1012, 2005, 2182, 3658, 1996, 2391, 1024, 2065, 1045, 19549, 2870, 15966, 3436, 2135, 1010, 2009, 9251, 2019, 2552, 1024, 1998, 2019, 2552, 6045, 2232, 2093, 5628, 1012, 2009, 2003, 2000, 2552, 1010, 2000, 2079, 1010, 1998, 2000, 4685, 1024, 12098, 9692, 1010, 2016, 12805, 2841, 15966, 3436, 2135, 1012, 102]"
4,4,hamlet,"if the man go to this water and drown himself, it is, will he nill he, he goes. mark you that. but if the water come to him and drown him, he drowns not himself. argal, he that is not guilty of his own death shortens not his own life. ",noble_agented,"[101, 2065, 1996, 2158, 2175, 2000, 2023, 2300, 1998, 19549, 2370, 1010, 2009, 2003, 1010, 2097, 2002, 9152, 3363, 2002, 1010, 2002, 3632, 1012, 2928, 2017, 2008, 1012, 2021, 2065, 1996, 2300, 2272, 2000, 2032, 1998, 19549, 2032, 1010, 2002, 19549, 2015, 2025, 2370, 1012, 12098, 9692, 1010, 2002, 2008, 2003, 2025, 5905, 1997, 2010, 2219, 2331, 2460, 6132, 2025, 2010, 2219, 2166, 1012, 102]"
5,5,hamlet,"if this had not been a gentlewoman, she should have been buried out o' christian burial. why, there thou say'st. and the more pity that great folk should have countenance in this world to drown or hang themselves more than their even christian.",cowardice_foolish_unpleasant,"[101, 2065, 2023, 2018, 2025, 2042, 1037, 7132, 10169, 1010, 2016, 2323, 2031, 2042, 3950, 2041, 1051, 1005, 3017, 8940, 1012, 2339, 1010, 2045, 15223, 2360, 1005, 2358, 1012, 1998, 1996, 2062, 12063, 2008, 2307, 5154, 2323, 2031, 4175, 8189, 5897, 1999, 2023, 2088, 2000, 19549, 2030, 6865, 3209, 2062, 2084, 2037, 2130, 3017, 1012, 102]"
6,6,mrsdalloway,"but septimus let himself think about horrible things, as she could too, if she tried. he had grown stranger and stranger. he said people were talking behind the bedroom walls. mrs. filmer thought it odd. he saw things too--he had seen an old woman's head in the middle of a fern. yet he could be happy when he chose. they went to hampton court on top of a bus, and they were perfectly happy. all the little red and yellow flowers were out on the grass, like floating lamps he said, and talked and chattered and laughed, making up stories. suddenly he said, ""now we will kill ourselves,"" when they were standing by the river, and he looked at it with a look which she had seen in his eyes when a train went by, or an omnibus--a look as if something fascinated him; and she felt he was going from her and she caught him by the arm. ",hopeless_empty_agony,"[101, 2021, 17419, 19315, 2292, 2370, 2228, 2055, 9202, 2477, 1010, 2004, 2016, 2071, 2205, 1010, 2065, 2016, 2699, 1012, 2002, 2018, 4961, 7985, 1998, 7985, 1012, 2002, 2056, 2111, 2020, 3331, 2369, 1996, 5010, 3681, 1012, 3680, 1012, 2143, 2121, 2245, 2009, 5976, 1012, 2002, 2387, 2477, 2205, 1011, 1011, 2002, 2018, 2464, 2019, 2214, 2450, 1005, 1055, 2132, 1999, 1996, 2690, 1997, 1037, 20863, 1012, 2664, 2002, 2071, 2022, 3407, 2043, 2002, 4900, 1012, 2027, 2253, 2000, 11615, 2457, 2006, 2327, 1997, 1037, 3902, 1010, 1998, 2027, 2020, 6669, 3407, 1012, 2035, 1996, 2210, 2417, 1998, 3756, 4870, 2020, 2041, 2006, 1996, 5568, 1010, 2066, 8274, 14186, 2002, 2056, 1010, 1998, 5720, 1998, 24691, 2098, 1998, 4191, 1010, 2437, 2039, 3441, 1012, 3402, 2002, 2056, 1010, 1000, 2085, 2057, 2097, 3102, 9731, 1010, 1000, 2043, 2027, 2020, 3061, 2011, 1996, 2314, 1010, 1998, 2002, 2246, 2012, 2009, 2007, 1037, 2298, 2029, 2016, 2018, 2464, 1999, 2010, 2159, 2043, 1037, 3345, 2253, 2011, 1010, 2030, 2019, 27284, 1011, 1011, 1037, 2298, 2004, 2065, 2242, 15677, 2032, 1025, 1998, 2016, 2371, 2002, 2001, 2183, 2013, 2014, 1998, 2016, 3236, 2032, 2011, 1996, 2849, 1012, 102]"
7,7,mrsdalloway,"but going home he was perfectly quiet--perfectly reasonable. he would argue with her about killing themselves; and explain how wicked people were; how he could see them making up lies as they passed in the street. he knew all their thoughts, he said; he knew everything. he knew the meaning of the world, he said. then when they got back he could hardly walk. he lay on the sofa and made her hold his hand to prevent him from falling down, down, he cried, into the flames! ",hopeless_empty_agony,"[101, 2021, 2183, 2188, 2002, 2001, 6669, 4251, 1011, 1011, 6669, 9608, 1012, 2002, 2052, 7475, 2007, 2014, 2055, 4288, 3209, 1025, 1998, 4863, 2129, 10433, 2111, 2020, 1025, 2129, 2002, 2071, 2156, 2068, 2437, 2039, 3658, 2004, 2027, 2979, 1999, 1996, 2395, 1012, 2002, 2354, 2035, 2037, 4301, 1010, 2002, 2056, 1025, 2002, 2354, 2673, 1012, 2002, 2354, 1996, 3574, 1997, 1996, 2088, 1010, 2002, 2056, 1012, 2059, 2043, 2027, 2288, 2067, 2002, 2071, 6684, 3328, 1012, 2002, 3913, 2006, 1996, 10682, 1998, 2081, 2014, 2907, 2010, 2192, 2000, 4652, 2032, 2013, 4634, 2091, 1010, 2091, 1010, 2002, 6639, 1010, 2046, 1996, 7311, 999, 102]"
8,8,mrsdalloway," when the damned fool came again, septimus refused to see him. did he indeed? said dr. holmes, smiling agreeably. really he had to give that charming little lady, mrs. smith, a friendly push before he could get past her into her husband's bedroom. ""so you're in a funk,"" he said agreeably, sitting down by his patient's side. he had actually talked of killing himself to his wife, quite a girl, a foreigner, wasn't she? didn't that give her a very odd idea of english husbands? didn't one owe perhaps a duty to one's wife? wouldn't it be better to do something instead of lying in bed? ",cowardice_foolish_unpleasant,"[101, 2043, 1996, 9636, 7966, 2234, 2153, 1010, 17419, 19315, 4188, 2000, 2156, 2032, 1012, 2106, 2002, 5262, 1029, 2056, 2852, 1012, 9106, 1010, 5629, 5993, 8231, 1012, 2428, 2002, 2018, 2000, 2507, 2008, 11951, 2210, 3203, 1010, 3680, 1012, 3044, 1010, 1037, 5379, 5245, 2077, 2002, 2071, 2131, 2627, 2014, 2046, 2014, 3129, 1005, 1055, 5010, 1012, 1000, 2061, 2017, 1005, 2128, 1999, 1037, 11962, 1010, 1000, 2002, 2056, 5993, 8231, 1010, 3564, 2091, 2011, 2010, 5776, 1005, 1055, 2217, 1012, 2002, 2018, 2941, 5720, 1997, 4288, 2370, 2000, 2010, 2564, 1010, 3243, 1037, 2611, 1010, 1037, 29524, 1010, 2347, 1005, 1056, 2016, 1029, 2134, 1005, 1056, 2008, 2507, 2014, 1037, 2200, 5976, 2801, 1997, 2394, 19089, 1029, 2134, 1005, 1056, 2028, 12533, 3383, 1037, 4611, 2000, 2028, 1005, 1055, 2564, 1029, 2876, 1005, 1056, 2009, 2022, 2488, 2000, 2079, 2242, 2612, 1997, 4688, 1999, 2793, 1029, 102]"
9,9,mrsdalloway,"once you stumble, septimus wrote on the back of a postcard, human nature is on you. holmes is on you. their only chance was to escape, without letting holmes know; to italy-- anywhere, anywhere, away from dr. holmes.",noble_agented,"[101, 2320, 2017, 21811, 1010, 17419, 19315, 2626, 2006, 1996, 2067, 1997, 1037, 2695, 11522, 1010, 2529, 3267, 2003, 2006, 2017, 1012, 9106, 2003, 2006, 2017, 1012, 2037, 2069, 3382, 2001, 2000, 4019, 1010, 2302, 5599, 9106, 2113, 1025, 2000, 3304, 1011, 1011, 5973, 1010, 5973, 1010, 2185, 2013, 2852, 1012, 9106, 1012, 102]"
